State,Data Acquisition Time,DO
Andhra Pradesh,27-10-2020 08:30,4
Andhra Pradesh,13-04-2020 08:30,5.6
Andhra Pradesh,16-10-2020 08:30,4.8
Andhra Pradesh,13-04-2020 08:30,5.8
Andhra Pradesh,14-10-2020 08:30,4.5
Andhra Pradesh,04-11-2020 08:30,4.6
Andhra Pradesh,10-05-2020 08:30,3.6
Andhra Pradesh,14-04-2020 08:30,4.9
Andhra Pradesh,10-12-2020 08:30,3.4
Andhra Pradesh,10-07-2020 08:30,5.6
Andhra Pradesh,04-11-2020 08:30,5.6
Andhra Pradesh,10-08-2020 08:30,5
Andhra Pradesh,13-04-2020 08:30,5.8
Andhra Pradesh,16-10-2020 08:30,5.5
Andhra Pradesh,01-07-2020 08:30,4.8
Andhra Pradesh,02-11-2020 08:30,4.6
Andhra Pradesh,03-10-2020 08:30,4.1
Andhra Pradesh,04-11-2020 08:30,3.9
Andhra Pradesh,05-11-2020 08:30,3.8
Andhra Pradesh,06-08-2020 08:30,4.1
Andhra Pradesh,13-07-2020 08:30,4.3
Andhra Pradesh,08-12-2020 08:30,4.2
Andhra Pradesh,09-04-2020 08:30,4.4
Andhra Pradesh,10-07-2020 08:30,4.2
Andhra Pradesh,11-12-2020 08:30,4.3
Andhra Pradesh,14-04-2020 08:30,3.9
Andhra Pradesh,15-10-2020 08:30,4.1
Andhra Pradesh,15-02-2020 08:30,4.4
Andhra Pradesh,04-11-2020 08:30,6.1
Andhra Pradesh,10-08-2020 08:30,5.8
Andhra Pradesh,04-12-2020 08:30,5.1
Andhra Pradesh,10-06-2020 08:30,4.1
Andhra Pradesh,04-11-2020 08:30,5.2
Andhra Pradesh,10-07-2020 08:30,4.3
Andhra Pradesh,14-04-2020 08:30,4.8
Andhra Pradesh,17-10-2020 08:30,3.3
Andhra Pradesh,15-04-2020 08:30,3.9
Andhra Pradesh,14-10-2020 08:30,4
Andhra Pradesh,13-04-2020 08:30,3.8
Andhra Pradesh,10-06-2020 08:30,3.9
Andhra Pradesh,13-04-2020 08:30,5.4
Andhra Pradesh,14-10-2020 08:30,3.6
Andhra Pradesh,14-04-2020 08:30,4.4
Andhra Pradesh,15-10-2020 08:30,4.2
Andhra Pradesh,04-11-2020 08:30,4
Andhra Pradesh,10-07-2020 08:30,4.1
Andhra Pradesh,13-04-2020 08:30,4.2
Andhra Pradesh,10-06-2020 08:30,3.9
Andhra Pradesh,15-04-2020 08:30,4.6
Andhra Pradesh,10-08-2020 08:30,4.1
Andhra Pradesh,01-03-2018 08:30,4.2
Andhra Pradesh,14-02-2018 08:30,4.6
Andhra Pradesh,27-03-2018 08:30,4.8
Andhra Pradesh,04-04-2018 08:30,5
Andhra Pradesh,05-11-2018 08:30,4.8
Andhra Pradesh,06-06-2018 08:30,5.2
Andhra Pradesh,31-07-2018 08:30,5.8
Andhra Pradesh,08-06-2018 08:30,5.5
Andhra Pradesh,17-09-2018 08:30,5.8
Andhra Pradesh,24-10-2018 08:30,5.3
Andhra Pradesh,11-01-2018 08:30,5.6
Andhra Pradesh,31-12-2018 08:30,5.6
Andhra Pradesh,01-07-2019 08:30,5.8
Andhra Pradesh,15-02-2019 08:30,5.6
Andhra Pradesh,03-06-2019 08:30,5.1
Andhra Pradesh,20-04-2019 08:30,5.3
Andhra Pradesh,30-05-2019 08:30,5
